Medicine Name,ML,IU/Package,Total Units
Actrapid 100IU Flexpen (3ml Each),3,100,300
Actrapid 100IU/ml Flexpen (3ml Each),3,100,300
Actrapid 100IU/ml Solution for Injection,10,100,1000
Actrapid HM Penfill (3ml Each),5,100,500
Actrapid HM Solution for Injection,3,100,300
Apidra 100IU Cartridge (3ml Each),3,100,300
Apidra 100IU Cartridge (3ml Each),3,100,300
Apidra 100IU/ml Solution for Injection,10,100,1000
Apidra Solostar 100IU/ml Injection,3,100,300
Apidra Solostar 300IU/ml Injection,3,300,900
