Medicine Name,ML,IU/Package,Total Units
Actrapid 100IU Flexpen (3ml Each),3,100,300
Actrapid 100IU/ml Flexpen (3ml Each),3,100,300
Actrapid 100IU/ml Solution for Injection,10,100,1000
Actrapid HM Penfill (3ml Each),5,100,500
Actrapid HM Solution for Injection,3,100,300
Apidra 100IU Cartridge (3ml Each),3,100,300
Apidra 100IU Cartridge (3ml Each),3,100,300
Apidra 100IU/ml Solution for Injection,10,100,1000
Apidra Solostar 100IU/ml Injection,3,100,300
Apidra Solostar 300IU/ml Injection,3,300,900
Basaglar 100 Units/ml Cartridge,3,100,300
Basaglar Kwikpen Solution for Injection,3,100,300
BASalog 100IU/ml Solution for Injection,3,100,300
BASalog 100IU/ml Solution for Injection,5,100,500
BASalog 100IU/ml Solution for Injection,10,100,1000
BASalog One Solution for Injection,3,100,300
BASalog One Solution for Injection,3,100,300
BASalog Refill Solution for Injection,3,100,300
Basugine Solution for Injection,3,100,300
Biosulin 30/70 40IU/ml Injection,10,40,400
Biosulin N 40IU Injection,10,40,400
Biosulin R 40IU Injection,10,40,400
Consegna-R Injection,3,200,600
Ctrapid Novolet 100IU Injection,3,100,300
Eglucent Mix 25 Suspension for Injection (3ml Each),3,100,300
Eglucent Mix 25 Suspension for Injection (3ml Each),3,100,300
Eglucent Mix 50 100IU/ml Suspension for Injection,3,100,300
Eglucent Rapid (3ml Each) Solution for Injection,3,100,300
Eglucent Rapid (3ml Each) Solution for Injection,3,100,300
Eglucent Rapid 100IU/ml Kwikpen,3,100,300
Equisulin M 50 Injection,3,100,300
Equisulin R 40IU Injection,10,40,400
Equisulin R Injection,3,100,300
Equisulin-M 30 Injection 40IU/ml,10,40,400
Equisulin-M 50 Injection 40IU/ml,10,40,400
Fiasp 100IU/ml Penfill (3ml Each),3,100,300
Fiasp 100IU/ml Penfill (3ml Each),3,100,300
Fiasp 100IU/ml Solution for Injection,10,100,1000
Fiasp FlexTouch (3ml Each),3,100,300
Fiasp FlexTouch (3ml Each),3,100,300
Glaritus 100IU/ml Injection 3ml,3,100,300
Glaritus 40IU/ml Injection,10,40,400
Glaritus Dispopen 2,3,100,300
Glaritus Dispopen 2,3,100,300
Glaritus Injection,3,100,300
Glarvia 100IU/ml Injection,3,100,300
Glarzen 100IU/ml Dispopen 2,3,100,300
Glarzen Injection,3,100,300
Humaject 100IU/ml Injection,3,100,300
Humaject R 100IU/ml Injection,3,100,300
Humalog 100IU/ml,5,100,500
HUMalog 100IU/ml Kwikpen,3,100,300
HUMalog 200IU/ml Kwikpen,3,200,600
Humalog Junior KwikPen,3,100,300
Humalog Mix 25 100IU/ml Cartridge,3,100,300
Humalog Mix 25 Kwikpen 100IU/ml,3,100,300
Humalog Mix 50 100IU/ml Cartridge,3,100,300
Humalog Mix 50 Kwikpen 100IU/ml,3,100,300
HUMalog Solution for Injection,3,100,300
Human Actrapid 40IU/ml Solution for Injection,10,40,400
Human Fastact 40IU/ml Injection,10,40,400
Human Insulatard 40IU/ml Suspension for Injection,10,40,400
Human Insunorm 40IU/ml Injection,10,40,400
Human Interact 40IU/ml Injection,10,40,400
Human Mixact 30/70 Injection 40IU/ml,10,40,400
Human Mixact Injection,10,40,400
Human Mixtard 100IU Suspension for Injection,10,100,1000
Human Mixtard 30 Suspension for Injection 100IU/ml,10,100,1000
Human Mixtard 50 Injection 40IU/ml,10,40,400
Human Mixtard Suspension for Injection 40IU/ml,10,40,400
Human Monotard 100IU/ml Injection,10,100,1000
Human Monotard 40IU/ml Injection,10,40,400
Humanext N 40IU/ml Injection,10,40,400
Humarap 40IU/ml Injection,10,40,400
HUMINsulin 30/70 Cartridge (3ml Each),3,100,300
HUMINsulin 30/70 Solution for Injection 40IU/ml,10,40,400
HUMINsulin 30/70 Suspension for Injection 100IU/ml,10,100,1000
HUMINsulin 50/50 Suspension for Injection 40IU/ml,10,40,400
HUMINsulin N 100IU/ml Injection,10,100,1000
HUMINsulin N 100IU/ml Suspension for Injection,3,100,300
HUMINsulin N 40IU/ml Suspension for Injection,10,40,400
Huminsulin R 100IU Cartridge,3,100,300
Huminsulin R 100IU/ml Solution for Injection,10,100,1000
Huminsulin R 40IU/ml Solution for Injection,10,40,400
